name,url,category,subcategory,description,keywords,pricing,analysis
Dribbble,https://dribbble.com,inspiration,ui-general,全球设计师作品展示平台，UI/UX/品牌/动效灵感,ui design shots portfolio showcase branding,freemium,"核心特色：以 Shot（设计截图）为主的社区平台，全球顶尖设计师聚集地。适用场景：寻找 UI 视觉灵感、按颜色/标签筛选设计风格、关注行业设计趋势。优势：作品质量极高，支持按颜色搜索，社区活跃。局限：免费版搜索和筛选功能有限，偏视觉展示而非完整项目。推荐理由：设计师找灵感的第一站，尤其适合 UI 视觉风格探索。"
Behance,https://behance.net,inspiration,ui-general,Adobe 旗下设计作品集平台，涵盖各类创意项目,portfolio creative projects adobe design showcase,free,"核心特色：Adobe 生态的设计作品展示平台，支持完整项目案例呈现。适用场景：查看完整设计项目流程（从概念到成品）、多领域创意灵感（UI/平面/摄影/插画）。优势：免费且无限浏览，项目展示更完整（含过程和说明），与 Adobe 工具深度集成。局限：作品质量参差不齐，需要自行筛选。推荐理由：看完整设计案例和项目流程的最佳平台，适合深度学习设计思路。"
Awwwards,https://www.awwwards.com,inspiration,web,网页设计评奖平台，展示前沿 Web 设计趋势,web design awards trending creative website,freemium,"核心特色：专业网页设计评审平台，由评委团打分评选最佳网站设计。适用场景：了解 Web 设计最新趋势、寻找创意网页交互案例、学习前沿开发技术应用。优势：每个作品有详细评分（设计/可用性/创意/内容），质量保证极高。局限：部分高级功能需付费，案例偏创意型不一定适合商业项目直接参考。推荐理由：Web 设计领域的奥斯卡，想做出色网站必看的灵感源。"
CSS Design Awards,https://www.cssdesignawards.com,inspiration,web,CSS 网页设计竞赛与灵感画廊,css web design awards gallery competition,free,"核心特色：聚焦 CSS/前端技术实现的网页设计评选平台。适用场景：寻找技术驱动的创意网页设计、学习 CSS 高级技巧的实战案例。优势：免费浏览，侧重技术实现而非纯视觉，对前端开发者更友好。局限：更新频率不如 Awwwards，社区规模较小。推荐理由：前端开发者寻找 CSS 创意实现灵感的好去处。"
SiteInspire,https://www.siteinspire.com,inspiration,web,精选优质网页设计灵感集合,web design inspiration curated quality,free,"核心特色：由编辑精选的高质量网页设计灵感库，分类清晰。适用场景：按风格/类型/主题快速筛选网页设计参考。优势：免费使用，筛选维度丰富（风格/类型/主题/平台），界面简洁无干扰。局限：没有评分系统，更新频率一般。推荐理由：快速按条件筛选网页灵感的高效工具，分类做得非常好。"
Lapa Ninja,https://www.lapa.ninja,inspiration,landing,Landing Page 设计灵感合集，含免费设计资源,landing page design inspiration free resources,free,"核心特色：专注 Landing Page 的设计灵感平台，附带免费设计资源下载。适用场景：设计 SaaS/产品 Landing Page 时寻找布局和视觉参考。优势：完全免费，按行业/颜色/风格分类，还提供免费 UI Kit 和设计书籍。局限：部分案例可能过时。推荐理由：Landing Page 设计灵感 + 免费资源双重价值，性价比极高。"
LandingFolio,https://www.landingfolio.com,inspiration,landing,Landing Page 设计灵感与模板库,landing page templates design inspiration,freemium,"核心特色：Landing Page 灵感 + 可购买模板的综合平台。适用场景：快速找到 Landing Page 各组件（Hero/Pricing/CTA/FAQ 等）的设计参考。优势：按页面组件分类浏览，可以单独参考某个区块的设计，部分模板可直接购买使用。局限：完整访问需付费。推荐理由：按组件拆解 Landing Page 设计的独特视角，特别实用。"
Landbook,https://land-book.com,inspiration,landing,精选 Landing Page 与网页设计灵感,landing page web design inspiration curated,free,"核心特色：精选优质 Landing Page 合集，支持多维度筛选。适用场景：需要高质量 Landing Page 参考时的快速浏览。优势：免费使用，UI 干净整洁，支持按类型/风格/颜色筛选。局限：收录数量相对较少。推荐理由：质量优先的 Landing Page 灵感源，筛选体验流畅。"
One Page Love,https://onepagelove.com,inspiration,landing,单页网站设计灵感与模板资源,one page website design templates inspiration,freemium,"核心特色：专注单页网站设计的灵感与模板平台。适用场景：设计个人作品集、活动页面、产品介绍等单页网站。优势：单页网站细分领域的标杆，模板质量高，有详细设计分析文章。局限：仅覆盖单页网站，付费模板较多。推荐理由：做单页网站的首选参考，没有之一。"
SaaS Landing Page,https://saaslandingpage.com,inspiration,landing,SaaS 产品 Landing Page 设计灵感集,saas landing page design inspiration product,free,"核心特色：专门收集 SaaS 产品 Landing Page 的灵感库。适用场景：为 SaaS/B2B 产品设计转化率高的 Landing Page。优势：完全免费，专注 SaaS 垂直领域，案例针对性强。局限：更新不够频繁，分类较简单。推荐理由：SaaS 产品团队的必备参考，直接对标竞品设计。"
Mobbin,https://mobbin.com,inspiration,mobile,移动端 UI 设计模式库，真实 App 截图参考,mobile app ui patterns screenshots reference,freemium,"核心特色：最全面的移动端 UI 设计模式库，收录数万个真实 App 界面截图。适用场景：移动端产品设计时按功能模块（登录/首页/设置等）寻找设计参考。优势：数据量大，支持按 App/屏幕类型/UI 元素精确筛选，iOS 和 Android 双平台覆盖。局限：免费版每日浏览次数有限。推荐理由：移动端设计师的瑞士军刀，找任何交互模式都能找到真实案例。"
Screenlane,https://screenlane.com,inspiration,mobile,移动端和 Web UI 设计灵感，按交互模式分类,mobile web ui design inspiration interaction patterns,freemium,"核心特色：以交互模式为核心分类的 UI 灵感平台，含移动端和 Web。适用场景：按特定交互模式（下拉刷新/导航/搜索等）寻找设计方案。优势：交互模式分类独特且实用，同时覆盖 Web 和移动端。局限：免费版功能受限。推荐理由：从交互维度找灵感的最佳平台，补充了视觉灵感平台的不足。"
Scrnshts,https://scrnshts.club,inspiration,mobile,App Store 应用截图设计灵感,app store screenshots design mobile marketing,free,"核心特色：专门收集 App Store 应用截图设计的灵感库。适用场景：设计应用商店截图、ASO 优化时的视觉参考。优势：完全免费，专注应用商店截图这一细分领域。局限：不涉及 App 内部 UI 设计。推荐理由：App 上架前设计应用商店截图的必看资源。"
UI Sources,https://www.uisources.com,inspiration,mobile,真实 App 交互录屏与 UI 模式参考,app interaction recordings ui patterns real world,freemium,"核心特色：以录屏形式展示真实 App 的完整交互流程。适用场景：研究知名 App 的交互细节、学习动效转场设计。优势：录屏形式比截图更能体现交互体验，覆盖 App 的完整操作流程。局限：免费版内容有限。推荐理由：想深入了解一个 App 交互体验时的最佳途径，比静态截图更直观。"
Page Flows,https://pageflows.com,inspiration,flow,完整用户流程录屏，展示知名产品的 UX 设计,user flows recordings ux design product onboarding,freemium,"核心特色：以完整用户流程为单位展示产品 UX 设计的录屏库。适用场景：设计注册/登录/引导/支付等关键流程时参考大厂方案。优势：按用户旅程阶段分类，覆盖 onboarding/升级/取消等完整生命周期。局限：完整访问需订阅。推荐理由：产品经理和 UX 设计师的利器，直接看大厂怎么做关键流程。"
UX Archive,https://uxarchive.com,inspiration,flow,移动端用户流程与交互模式集合,mobile user flows interaction patterns ux archive,free,"核心特色：归档整理移动端 App 的用户流程截图序列。适用场景：研究特定交互场景（如 onboarding/搜索/分享）在不同 App 中的实现方式。优势：免费使用，按交互任务类型分类，方便横向对比。局限：更新频率较慢，部分截图可能过时。推荐理由：免费的用户流程参考库，适合快速对比不同 App 的设计方案。"
Good UX,https://goodux.appcues.com,inspiration,flow,知名产品的优秀 UX 案例解析,ux case studies best practices product design,free,"核心特色：Appcues 出品的 UX 最佳实践案例集，附带详细解析。适用场景：学习顶级产品的 UX 设计决策思路和用户体验优化方法。优势：完全免费，每个案例都有解析说明而非纯截图，教育价值高。局限：更新不频繁，案例数量有限。推荐理由：不只看设计而是理解为什么这样设计，学习 UX 设计思维的好资源。"
Adobe Color,https://color.adobe.com,color,color-palette,Adobe 在线配色工具，支持色轮和主题提取,color palette generator adobe themes wheel extract,free,"核心特色：Adobe 官方配色工具，支持色轮、从图片提取色彩、辅助功能检查。适用场景：创建配色方案、从图片/品牌素材提取主色调、检查色彩无障碍性。优势：免费使用，功能全面（色轮/提取/趋势/无障碍），与 Adobe CC 无缝同步。局限：界面稍显复杂，需要一定的色彩理论基础。推荐理由：最专业的免费配色工具，功能深度无可匹敌。"
Coolors,https://coolors.co,color,color-palette,快速配色方案生成器，支持锁定和微调,color palette generator fast lock adjust scheme,freemium,"核心特色：一键生成配色方案，空格键随机生成，锁定喜欢的颜色继续探索。适用场景：快速探索和确定项目配色方案。优势：操作极其简单（空格键生成），支持锁定/微调/导出多种格式，有浏览器插件和 iOS App。局限：高级功能（渐变/对比度检查等）需付费。推荐理由：最快速便捷的配色方案生成器，设计师的效率神器。"
Color Hunt,https://colorhunt.co,color,color-palette,社区驱动的配色方案灵感平台,color palette community driven inspiration trending,free,"核心特色：社区投票驱动的配色方案灵感平台，每天上新。适用场景：浏览热门配色趋势、寻找经过社区验证的配色方案。优势：完全免费，社区点赞机制确保质量，按风格/季节/颜色筛选。局限：不能自定义调整颜色，纯灵感浏览工具。推荐理由：像逛 Pinterest 一样找配色灵感，简单又上瘾。"
Realtime Colors,https://www.realtimecolors.com,color,color-palette,实时预览配色方案在真实 UI 中的效果,color palette realtime preview ui mockup,free,"核心特色：在真实网页模板上实时预览配色方案效果。适用场景：验证配色方案在实际 UI 中的视觉效果。优势：完全免费，所见即所得的配色体验，支持导出 CSS 变量和 Tailwind 配置。局限：预览模板样式有限。推荐理由：解决了配色方案'看色板好看但用上去不对'的痛点，实用度极高。"
Happy Hues,https://www.happyhues.co,color,color-palette,配色方案与实际网页应用示例,color palette website examples real world application,free,"核心特色：每套配色方案都附带完整网页应用示例。适用场景：直接看到配色在按钮/卡片/导航等真实组件上的效果。优势：完全免费，交互式演示非常直观，同时教你如何正确使用配色。局限：方案总数不多。推荐理由：不只给你颜色，还教你怎么用，配色小白的最佳起步工具。"
Muzli Colors,https://colors.muz.li,color,color-palette,AI 配色方案生成与色彩灵感搜索,color palette ai generator search inspiration muzli,free,"核心特色：AI 驱动的配色方案生成，支持按关键词搜索色彩灵感。适用场景：用文字描述生成配色方案、探索特定主题的色彩趋势。优势：AI 语义搜索独特，免费使用，配色方案附带应用预览。局限：AI 生成结果不一定每次满意。推荐理由：用 AI 搜索配色的新方式，说出你想要的感觉就能得到方案。"
Colorable,https://colorable.jxnblk.com,color,color-contrast,WCAG 对比度检查工具，确保文字可读性,color contrast accessibility wcag readability check,free,"核心特色：简洁的 WCAG 色彩对比度检查工具。适用场景：验证前景色和背景色的对比度是否符合无障碍标准。优势：完全免费，界面极简，实时显示 WCAG AA/AAA 达标状态。局限：功能单一，仅检查两色对比度。推荐理由：做无障碍设计时的必备检查工具，简单高效。"
Contrast Ratio,https://contrast-ratio.com,color,color-contrast,简洁的颜色对比度计算器,color contrast ratio calculator accessibility,free,"核心特色：Lea Verou 开发的极简色彩对比度计算器。适用场景：快速检查两种颜色的对比度比值。优势：完全免费，开源项目，支持各种颜色格式输入，界面直观。局限：功能极简，不支持批量检查。推荐理由：前端开发中快速验证文字颜色可读性的便捷小工具。"
Google Fonts,https://fonts.google.com,typography,font-library,Google 免费字体库，开源 Web 字体,fonts free open source web google typography,free,"核心特色：Google 官方的免费开源字体库，全球最大的 Web 字体 CDN。适用场景：为 Web 项目选择和引入字体、下载离线字体文件。优势：完全免费开源，CDN 全球加速，支持中日韩文字体，API 简单易用。局限：中文字体选择相对有限，部分字体文件较大。推荐理由：Web 开发引入字体的首选方案，零成本零门槛。"
Fontshare,https://www.fontshare.com,typography,font-library,Indian Type Foundry 免费高质量字体库,fonts free high quality professional foundry,free,"核心特色：Indian Type Foundry 出品的免费高质量字体库。适用场景：寻找设计感强、品质专业的免费英文字体。优势：完全免费商用，字体设计质量极高（专业铸字厂出品），支持可变字体。局限：仅英文字体，数量有限。推荐理由：免费字体中的'奢侈品'，质量堪比付费字体。"
Font In Use,https://fontsinuse.com,typography,font-pairing,真实设计作品中的字体使用案例,font usage real world examples typography design,free,"核心特色：收集真实设计作品中的字体使用案例与搭配。适用场景：学习字体在实际项目中的应用方式、寻找字体搭配灵感。优势：完全免费，案例真实且附带分析，按行业/格式/字体分类。局限：偏向平面设计和出版领域。推荐理由：从真实作品中学习字体搭配，比理论指南更实用。"
Typewolf,https://www.typewolf.com,typography,font-pairing,字体推荐与搭配灵感，附趋势榜单,font pairing recommendations trending typography,freemium,"核心特色：知名排版博主 Jeremiah Shoaf 运营的字体推荐与趋势网站。适用场景：了解排版设计趋势、获取专业的字体搭配建议。优势：推荐质量极高（专人策展），年度字体趋势报告很有参考价值。局限：完整的字体搭配指南需付费。推荐理由：排版领域最具影响力的策展网站，专业度首屈一指。"
Fontjoy,https://fontjoy.com,typography,font-pairing,AI 驱动的字体搭配生成器,font pairing ai generator machine learning,free,"核心特色：利用深度学习自动生成和谐的字体搭配方案。适用场景：快速为项目找到标题/副标题/正文的字体组合。优势：完全免费，一键生成三级字体搭配，可锁定某一级别继续探索。局限：仅支持 Google Fonts，搭配效果不一定总是完美。推荐理由：字体搭配困难症的救星，AI 帮你解决选择障碍。"
Archetype,https://archetypeapp.com,typography,font-tool,在线排版工具，实时预览字体层级和间距,typography tool preview hierarchy spacing scale,free,"核心特色：在线排版设计工具，可视化设计字体层级和间距。适用场景：建立项目的排版系统（字号层级/行高/间距）。优势：免费使用，所见即所得编辑，支持导出 CSS 代码。局限：功能集中于排版参数调整。推荐理由：从零建立排版系统的最佳工具，比手动计算高效得多。"
Type Scale,https://typescale.com,typography,font-tool,排版比例计算器，生成和谐的字号层级,typography scale calculator ratio harmony,free,"核心特色：基于数学比例生成字号层级的计算器。适用场景：为设计系统确定字号比例（如 1.25 Major Third/1.333 Perfect Fourth）。优势：完全免费，支持多种比例选择，实时预览效果，可导出 CSS。局限：功能单一，仅处理字号比例。推荐理由：建立一致排版系统的基础工具，用数学保证和谐。"
Framer Motion,https://www.framer.com/motion,animation,motion-tool,React 动画库，声明式 API 构建流畅交互动画,react animation library framer declarative motion,free,"核心特色：React 生态最流行的声明式动画库，API 简洁优雅。适用场景：React 项目中实现页面转场/组件动画/手势交互/布局动画。优势：声明式 API 上手快，自动优化性能，支持手势和布局动画，TypeScript 友好。局限：仅支持 React，包体积相对较大。推荐理由：React 项目动画的首选方案，开发体验和效果质量都是顶级。"
GSAP,https://gsap.com,animation,motion-tool,专业级 JavaScript 动画引擎，高性能时间线动画,javascript animation engine professional timeline gsap,freemium,"核心特色：业界标准的专业 JavaScript 动画引擎，无框架依赖。适用场景：复杂时间线动画/ScrollTrigger 滚动动画/SVG 动画/跨框架项目。优势：性能极致，兼容性好，插件生态丰富（ScrollTrigger/MorphSVG 等），框架无关。局限：商业项目的高级插件需购买 Club 许可。推荐理由：动画领域的瑞士军刀，能实现几乎任何动画效果。"
Lottie Files,https://lottiefiles.com,animation,motion-tool,Lottie 动画资源库与播放工具,lottie animation json after effects playback,freemium,"核心特色：Lottie 动画资源市场 + 在线编辑/预览/优化工具。适用场景：为项目添加轻量级矢量动画（加载动画/图标动效/空状态插画等）。优势：动画文件体积小（JSON 格式），跨平台支持（Web/iOS/Android），可在线编辑颜色和速度。局限：免费版下载数量有限，复杂动画需要 After Effects 技能。推荐理由：用最小成本给产品加上专业级动画效果的最优解。"
Animate.css,https://animate.style,animation,motion-tool,即用型 CSS 动画类库，快速添加入场/退场动画,css animation library ready-made entrance exit,free,"核心特色：最经典的纯 CSS 动画类库，一行代码添加动画。适用场景：快速为元素添加入场/退场/强调动画效果。优势：零依赖纯 CSS，使用极其简单（加类名即可），动画效果丰富。局限：仅支持预设动画，无法精细控制时间线。推荐理由：最简单的方式给页面加动画，5 分钟上手，适合快速原型和简单项目。"
Theatre.js,https://www.theatrejs.com,animation,motion-tool,可视化动画编辑器，支持 React/Three.js,visual animation editor react threejs motion design,free,"核心特色：带可视化时间线编辑器的 JavaScript 动画库。适用场景：创建精细的编排动画/3D 场景动画/电影级过场效果。优势：可视化编辑器体验接近 After Effects，支持 React 和 Three.js，开源免费。局限：学习曲线较陡，适合复杂场景而非简单动画。推荐理由：当你需要电影级动画编排时的核武器级工具。"
Cubic Bezier,https://cubic-bezier.com,animation,motion-tool,贝塞尔曲线可视化调试工具，自定义缓动函数,bezier curve easing function visualizer custom timing,free,"核心特色：Lea Verou 开发的贝塞尔曲线可视化调试工具。适用场景：设计和调试 CSS transition/animation 的缓动函数。优势：完全免费，实时预览动画曲线效果，可对比多条曲线，直接复制 CSS 代码。局限：仅处理 cubic-bezier 一种缓动类型。推荐理由：CSS 动画调优必备工具，告别盲猜缓动参数。"
Ant Design,https://ant.design,design-system,enterprise-ds,蚂蚁金服企业级 UI 设计系统,enterprise ui design system react antd components,free,"核心特色：蚂蚁金服出品的企业级 React UI 组件库和设计规范。适用场景：中后台管理系统、企业级 B 端产品开发。优势：组件丰富完善（60+），文档详尽，国内生态最成熟，有 Vue 版本（Ant Design Vue）。局限：包体积较大，定制主题有一定复杂度，设计风格偏保守。推荐理由：国内企业级中后台项目的事实标准，生态和文档无可挑剔。"
Material Design,https://m3.material.io,design-system,enterprise-ds,Google Material Design 3 设计规范与组件,google material design system guidelines components,free,"核心特色：Google 的设计语言和规范体系，已迭代至 Material Design 3。适用场景：学习设计系统规范、Android 应用设计、跨平台一致性设计。优势：规范文档极其详尽，涵盖设计原则/组件/动效/无障碍，全球影响力最大。局限：风格辨识度过高（一眼 Google 风），定制难度大。推荐理由：学习设计系统架构和规范编写的最佳范本，即使不用 Material 也值得研究。"
Atlassian Design,https://atlassian.design,design-system,enterprise-ds,Atlassian 产品设计系统与规范,atlassian design system guidelines jira confluence,free,"核心特色：Atlassian（Jira/Confluence）的设计系统和组件库。适用场景：B2B SaaS 产品设计参考、协作工具 UI 设计。优势：B2B 产品设计的标杆案例，规范文档质量极高，设计原则阐述清晰。局限：组件偏向 Atlassian 产品风格。推荐理由：做 B2B/SaaS 产品时的最佳设计系统参考。"
Carbon Design,https://carbondesignsystem.com,design-system,enterprise-ds,IBM Carbon 设计系统，企业级数据密集型界面,ibm carbon design system enterprise data intensive,free,"核心特色：IBM 的开源设计系统，专为数据密集型企业界面设计。适用场景：数据可视化/企业级仪表盘/复杂表单等数据密集型产品。优势：数据展示组件极其完善，无障碍支持一流，React/Vue/Angular/Svelte 多框架支持。局限：风格偏冷峻企业风，不适合 C 端产品。推荐理由：数据密集型产品设计系统的天花板，数据可视化组件尤其出色。"
Fluent UI,https://fluent2.microsoft.design,design-system,enterprise-ds,微软 Fluent 2 设计系统,microsoft fluent design system windows office,free,"核心特色：微软 Fluent 2 设计系统，覆盖 Windows/Office/Web 全平台。适用场景：Windows 应用开发、Office 插件、微软生态产品设计。优势：跨平台设计一致性，React 组件库成熟（@fluentui/react），无障碍支持好。局限：风格与微软产品强绑定。推荐理由：微软生态开发的首选设计系统，跨平台能力出色。"
Chakra UI,https://chakra-ui.com,design-system,open-source-ds,React 组件库，开箱即用且高度可定制,react component library accessible customizable chakra,free,"核心特色：以开发者体验为核心的 React 组件库，极易定制。适用场景：中小型 React 项目快速搭建 UI、需要高度定制设计风格的项目。优势：API 设计极其直观（style props），内置暗色模式，无障碍达标，主题定制简单。局限：组件数量不如 Ant Design 多，大型企业项目可能需要补充组件。推荐理由：DX（开发者体验）最好的 React UI 库，定制化能力一流。"
Radix UI,https://www.radix-ui.com,design-system,open-source-ds,无样式可访问 React 原语组件库,react primitives unstyled accessible headless radix,free,"核心特色：无样式（headless）的 React UI 原语库，专注行为和无障碍。适用场景：需要完全自定义样式但保证无障碍和交互行为正确的项目。优势：零预设样式不干扰设计，无障碍支持完美，组合式 API 灵活。局限：需要自己编写全部样式，不适合快速原型。推荐理由：想要完全控制 UI 外观同时保证交互正确和无障碍的最佳选择。"
Shadcn/ui,https://ui.shadcn.com,design-system,open-source-ds,基于 Radix + Tailwind 的可复制粘贴组件集,react tailwind radix copy paste components shadcn,free,"核心特色：基于 Radix UI + Tailwind CSS 的可复制粘贴组件集合（非传统 npm 包）。适用场景：React + Tailwind 项目快速搭建美观且可完全控制的 UI。优势：代码完全在你的项目中（可任意修改），设计精美，社区生态爆发式增长。局限：仅适用于 React + Tailwind 技术栈。推荐理由：2024-2025 年最火的前端 UI 方案，拥有即修改的理念颠覆了传统组件库模式。"
Headless UI,https://headlessui.com,design-system,open-source-ds,Tailwind Labs 无样式可访问 UI 组件,headless unstyled accessible tailwind react vue,free,"核心特色：Tailwind Labs 官方出品的无样式 UI 组件库，支持 React 和 Vue。适用场景：Tailwind CSS 项目中需要复杂交互组件（下拉/对话框/Tab 等）。优势：与 Tailwind 完美配合，React + Vue 双版本，无障碍支持好。局限：组件数量有限（仅覆盖复杂交互组件），需要自行用 Tailwind 写样式。推荐理由：Tailwind 项目的最佳拍档，解决了 Tailwind 处理复杂交互组件的痛点。"
daisyUI,https://daisyui.com,design-system,open-source-ds,Tailwind CSS 组件库，提供丰富预设主题,tailwind css component library themes daisy,free,"核心特色：基于 Tailwind CSS 的组件类名库，提供 30+ 预设主题。适用场景：快速搭建有设计感的页面、需要多主题切换的项目。优势：纯 CSS 类名（无 JS），主题切换一行代码，减少 Tailwind 类名堆叠。局限：组件行为需要自行实现（纯样式层），定制粒度不如原生 Tailwind。推荐理由：让 Tailwind 项目瞬间拥有设计感的捷径，主题系统是最大亮点。"
Element Plus,https://element-plus.org,component,component-lib,Vue 3 企业级 UI 组件库,vue3 component library enterprise element plus,free,"核心特色：Vue 3 版本的 Element UI，国内最流行的 Vue 组件库。适用场景：Vue 3 中后台管理系统、企业级 B 端产品。优势：组件齐全（70+），中文文档完善，国内社区庞大，按需导入支持好。局限：设计风格较为保守，移动端适配有限。推荐理由：Vue 3 中后台项目的首选组件库，国内生态最成熟。"
Naive UI,https://www.naiveui.com,component,component-lib,Vue 3 TypeScript 友好的组件库,vue3 typescript component library naive ui,free,"核心特色：全量 TypeScript 编写的 Vue 3 组件库，类型安全极佳。适用场景：TypeScript 严格模式的 Vue 3 项目、追求 DX 的开发团队。优势：TypeScript 类型推导完美，主题定制灵活（CSS-in-JS），组件丰富（80+），API 设计一致。局限：国际化生态不如 Element Plus，社区规模较小。推荐理由：Vue 3 + TypeScript 项目的最佳搭档，类型体验碾压同类库。"
Vuetify,https://vuetifyjs.com,component,component-lib,Vue Material Design 组件框架,vue material design component framework vuetify,free,"核心特色：Vue 生态中最完整的 Material Design 组件框架。适用场景：需要 Material Design 风格的 Vue 项目、快速搭建标准化 UI。优势：遵循 Material Design 规范，组件极其丰富，内置响应式网格系统。局限：强 Material Design 风格难以定制为其他风格，包体积大。推荐理由：Vue 生态中功能最全面的组件库，适合追求标准化和快速开发。"
Arco Design,https://arco.design,component,component-lib,字节跳动企业级设计系统与组件库,bytedance design system component library vue react,free,"核心特色：字节跳动出品的企业级设计系统，同时支持 React 和 Vue。适用场景：追求现代化设计风格的企业级项目、React/Vue 双栈团队。优势：设计风格现代清新，React + Vue 双版本，图标库丰富，主题定制方便。局限：社区生态不如 Ant Design/Element Plus 成熟。推荐理由：颜值与功能兼备的新生代组件库，双框架支持是独特优势。"
Mantine,https://mantine.dev,component,component-lib,React 全功能组件库，含丰富 hooks,react component library hooks mantine full featured,free,"核心特色：React 全功能 UI 库，组件+hooks+表单+通知+富文本一站式解决。适用场景：React 全栈项目、需要丰富内置功能（日期选择/富文本/通知系统等）的项目。优势：功能覆盖极广（100+组件/50+hooks），文档清晰，暗色模式内置，样式方案灵活。局限：与 Tailwind 集成不如 shadcn/ui 原生。推荐理由：React 生态中功能最全面的一站式 UI 解决方案，减少三方依赖。"
Collectui,https://collectui.com,aggregate,curated,每日 UI 设计灵感精选，按组件类型分类,daily ui inspiration curated component category,free,"核心特色：基于 Daily UI 挑战的设计灵感集合，按组件类型分类。适用场景：按 UI 组件类型（登录/卡片/导航等）寻找设计灵感。优势：完全免费，按组件类型分类浏览极其方便，内容量大。局限：作品来自社区挑战，质量参差不齐。推荐理由：按组件类型找灵感的最直接方式，适合快速参考特定组件的设计方案。"
UI Garage,https://uigarage.net,aggregate,curated,按设计模式和组件分类的 UI 灵感库,ui patterns components categorized inspiration garage,free,"核心特色：按设计模式和 UI 组件类型分类的综合灵感库。适用场景：按交互模式/组件类型/平台浏览多样化的 UI 设计方案。优势：完全免费，覆盖 Web/iOS/Android 三平台，分类维度丰富。局限：界面设计略显过时，加载速度一般。推荐理由：跨平台 UI 灵感集合，一个站点覆盖多端设计参考需求。"
